station_id,timestamp,temperature_c,pressure_hpa,relative_humidity_pct
IMD-DEMO-001,2026-06-01T00:00:00Z,27.1,1005.8,81.0
IMD-DEMO-001,2026-06-01T00:10:00Z,27.0,1005.9,81.4
IMD-DEMO-001,2026-06-01T00:20:00Z,26.9,1005.9,81.8
IMD-DEMO-001,2026-06-01T00:30:00Z,26.8,1006.0,82.1
IMD-DEMO-001,2026-06-01T00:40:00Z,26.7,1006.1,82.5
IMD-DEMO-001,2026-06-01T00:50:00Z,26.6,1006.1,82.8
IMD-DEMO-001,2026-06-01T01:00:00Z,26.5,1006.2,83.0
IMD-DEMO-001,2026-06-01T01:10:00Z,26.5,1006.2,83.1
IMD-DEMO-001,2026-06-01T01:20:00Z,26.4,1006.3,83.3
IMD-DEMO-001,2026-06-01T01:30:00Z,26.3,1006.4,83.5
IMD-DEMO-001,2026-06-01T01:40:00Z,26.2,1006.4,83.7
IMD-DEMO-001,2026-06-01T01:50:00Z,26.2,1006.5,83.8
